utterance,ctc_viterbi_encoding_ms,ctc_viterbi_phone_region_and_scoring_ms,ctc_viterbi_stress_ms,ctc_viterbi_downstream_total_ms,ctc_viterbi_scored_phones,ctc_viterbi_scored_polysyllabic_words,mfa_encoding_ms,mfa_phone_region_and_scoring_ms,mfa_stress_ms,mfa_downstream_total_ms,mfa_scored_phones,mfa_scored_polysyllabic_words
000030012,52.661416004411876,3.713041980518028,35.775500000454485,92.15104198665358,19,1,52.84749998827465,0.22920800256542861,36.497791996225715,89.57512499182485,19,1
000030024,46.43200000282377,1.9623329862952232,61.35587501921691,109.75129102007486,10,1,46.4950829918962,0.1366669894196093,44.765375001588836,91.39808398322202,10,1
000030040,54.15016700862907,1.8951250240206718,0.000667001586407423,56.04670799220912,11,0,46.59945800085552,0.153791974298656,0.0005410111043602228,46.7547089792788,11,0
000030047,46.33733298396692,2.087792003294453,0.000667001586407423,48.426082998048514,12,0,46.44325000117533,0.15575002180412412,0.000667001586407423,46.60012500244193,12,0
000030049,44.79441698640585,1.6766250191722065,0.0005829788278788328,46.47212501731701,10,0,44.76395802339539,0.11875000200234354,0.0006250047590583563,44.883750000735745,10,0
000030051,48.30912500619888,2.4727499985601753,0.00045899651013314724,50.78283400507644,12,0,48.87999998754822,0.14495800132863224,0.000500003807246685,49.02574999141507,12,0
000030054,45.70929199689999,1.8345419957768172,0.0004580069798976183,47.54470899933949,11,0,45.79520798870362,0.1514590112492442,0.0011249794624745846,45.94816698227078,11,0
000030059,55.32062498969026,3.00829199841246,65.21687499480322,123.54679201962426,13,1,56.53025000356138,0.1549159933347255,47.818625025684014,104.50429198681377,13,1
000030069,46.47995901177637,2.443165984004736,37.72408299846575,86.64791699266061,14,1,46.375708014238626,0.16799999866634607,35.33000001334585,81.87441699556075,14,1
000030080,47.30145799112506,2.666374988621101,0.0005830079317092896,49.96900001424365,14,0,47.47712501557544,0.1754170225467533,0.0005420006345957518,47.65391699038446,14,0
000030097,39.66549999313429,1.7803340160753578,0.0004580069798976183,41.44658398581669,11,0,39.52333302004263,0.11999998241662979,0.0005410111043602228,39.64412500499748,11,0
000030101,46.87399999238551,2.3459579970221967,0.0004580069798976183,49.22062502009794,14,0,46.7887080158107,0.1576670038048178,0.0006250047590583563,46.94754199590534,14,0
000030116,53.79641699255444,4.077042016433552,73.92991697997786,131.8040410114918,22,2,54.05570799484849,0.24745799601078033,80.83970900042914,135.143416991923,22,2
000030119,61.76133401459083,4.7532089811284095,113.96008299198002,180.47529098112136,22,3,62.63158400543034,0.2651670074556023,122.63437500223517,185.53191699902527,22,3
000030145,45.93995798495598,2.3266250209417194,35.66337501979433,83.93045898992568,15,1,45.21299997577444,0.18191701383329928,40.172249980969355,85.56783400126733,15,1
000030153,39.31341698626056,1.3253749930299819,0.0006250047590583563,40.63974999007769,9,0,39.52945800847374,0.12679200153797865,0.0006250047590583563,39.65758401318453,9,0
000030154,45.814165991032496,2.046790992608294,0.0005829788278788328,47.86199997761287,12,0,45.83941699820571,0.15158302267082036,0.0007500057108700275,45.992125000339,12,0
000030175,33.649332995992154,0.5764170200563967,69.36066699563526,103.58708299463615,4,1,33.48133299732581,0.06575000588782132,49.99229099485092,83.54008398600854,4,1
000240010,38.84320901124738,1.6374159895349294,0.0005420006345957518,40.48170801252127,13,0,38.19699998712167,0.14916600775904953,0.0006250047590583563,38.34708398790099,13,0
