utterance,speaker,wall_ms,stage_preparation_ms,stage_ctc_encoding_ms,stage_ctc_viterbi_ms,stage_phone_scoring_ms,stage_total_ms
010760089,1076,63.30375000834465,0.206,58.91,2.866,0.367,62.37
010760097,1076,81.04395799455233,0.228,74.441,4.872,0.546,80.107
010760108,1076,125.15249999705702,0.301,112.255,10.714,0.792,124.083
010760111,1076,74.84158300212584,0.213,68.111,5.01,0.565,73.921
010760116,1076,94.79699999792501,0.255,85.569,7.288,0.673,93.804
010760136,1076,51.72591601149179,0.154,48.173,2.114,0.415,50.88
010760151,1076,49.73329199128784,0.164,47.152,1.593,0.306,49.234
010760162,1076,50.69424997782335,0.141,48.288,1.55,0.316,50.317
010760169,1076,56.82174998219125,0.152,54.202,1.77,0.303,56.448
010990020,1099,54.638250003336,0.19,49.612,3.286,0.58,53.688
010990048,1099,57.925458007957786,0.196,50.482,3.909,0.663,55.271
010990060,1099,59.868042008019984,0.206,54.273,3.567,0.731,58.799
010990063,1099,55.783624993637204,0.201,49.719,4.21,0.714,54.863
010990082,1099,68.85195898939855,0.181,60.614,5.4,0.867,67.084
010990087,1099,68.60966701060534,0.214,60.622,5.915,0.912,67.685
010990123,1099,43.55425000539981,0.133,40.953,1.693,0.384,43.186
010990139,1099,45.66458301269449,0.141,42.238,2.298,0.501,45.198
010990162,1099,51.92066699964926,0.142,48.379,2.422,0.582,51.547
010990165,1099,56.751832977170125,0.144,53.475,2.263,0.479,56.382
010990188,1099,68.90970800304785,0.161,62.769,4.294,0.877,68.124
010990202,1099,51.14558301283978,0.152,47.439,2.085,0.531,50.228
010990218,1099,50.19862501649186,0.135,46.98,2.183,0.511,49.835
010990239,1099,48.41341599239968,0.156,45.081,2.169,0.589,48.022
010990260,1099,53.370124980574474,0.154,49.34,2.878,0.516,52.908
010990267,1099,70.54975000210106,0.176,64.443,4.851,0.68,70.173
010990276,1099,41.5910420124419,0.178,38.501,1.526,0.433,40.661
010990279,1099,54.22033401555382,0.155,48.904,3.842,0.723,53.649
010990291,1099,59.00570799713023,0.19,54.282,2.677,0.395,57.565
010990313,1099,53.30158301512711,0.261,49.369,2.373,0.418,52.441
011090011,1109,64.5659580186475,0.195,60.013,3.396,0.498,64.125
011090020,1109,81.21687499806285,0.202,73.72,5.58,0.693,80.219
011090034,1109,54.446416994323954,0.182,51.002,1.91,0.375,53.49
011090089,1109,46.86587501782924,0.17,41.472,1.977,0.466,44.103
011090140,1109,86.18870901409537,0.244,76.754,7.759,0.924,85.709
011090154,1109,87.7502909861505,0.205,78.528,7.667,0.835,87.259
011090184,1109,71.03591700433753,0.229,65.547,3.781,0.524,70.103
011090220,1109,72.37000000895932,0.218,66.22,4.323,0.61,71.39
011090235,1109,64.23937500221655,0.243,58.071,3.695,0.568,62.597
011090246,1109,75.74820797890425,0.23,68.792,5.084,0.672,74.795
011090273,1109,60.41495798854157,0.2,55.855,2.883,0.513,59.473
011090277,1109,81.54691601521336,0.211,74.786,5.508,0.606,81.134
011090292,1109,110.71024998091161,0.278,98.606,9.88,0.765,109.55
011090295,1109,79.92049999302253,0.202,72.849,5.281,0.675,79.035
011090320,1109,104.5426249911543,0.276,91.288,10.96,0.975,103.522
011090329,1109,59.427208005217835,0.199,55.5,2.353,0.399,58.474
011090333,1109,93.42491699499078,0.269,82.905,8.492,0.783,92.472
011090334,1109,87.81850000377744,0.26,78.089,8.051,0.816,87.239
011090335,1109,60.82687500747852,0.205,55.76,3.384,0.501,59.871
011090359,1109,84.40545902703889,0.244,74.98,7.398,0.806,83.451
011350001,1135,66.77862498327158,0.188,60.14,4.946,0.618,65.913
011350026,1135,81.42116697854362,0.218,73.455,6.032,0.701,80.428
011350027,1135,75.76270800200291,0.237,67.623,6.218,0.721,74.821
011350064,1135,75.87154197972268,0.225,68.144,5.78,0.703,74.874
011350116,1135,88.77262502210215,0.237,78.023,8.66,0.847,87.796
011350141,1135,85.60004201717675,0.247,75.699,7.786,0.831,84.585
011350158,1135,51.24566701124422,0.19,47.729,2.02,0.412,50.37
011350173,1135,65.24345799698494,0.194,60.507,3.552,0.426,64.702
011350190,1135,89.16770899668336,0.257,78.466,8.274,1.082,88.109
011350215,1135,78.53433300624602,0.213,71.807,5.367,0.715,78.128
011350218,1135,65.92349999118596,0.183,60.016,3.888,0.633,64.745
011350221,1135,65.83866599248722,0.217,60.391,3.7,0.512,64.843
011350225,1135,83.58674999908544,0.219,74.505,7.058,0.814,82.618
011350249,1135,72.3153330036439,0.222,66.235,4.28,0.566,71.324
011350257,1135,71.07116701081395,0.227,64.74,4.498,0.639,70.124
011350290,1135,65.95054198987782,0.222,59.375,4.609,0.7,64.928
011350303,1135,74.34400002239272,0.205,68.63,3.915,0.577,73.351
011350318,1135,75.87841700296849,0.253,68.652,5.201,0.655,74.784
011350345,1135,94.42920901346952,0.265,81.977,10.089,0.977,93.337
011350374,1135,63.05916598648764,0.195,58.186,3.245,0.457,62.11
011560005,1156,84.1932920156978,0.231,74.396,7.692,0.854,83.197
011560058,1156,64.55449998611584,0.209,58.386,4.369,0.637,63.624
011560063,1156,73.04716602084227,0.233,65.979,5.135,0.689,72.061
011560068,1156,106.7652499768883,0.278,91.965,12.817,1.146,106.23
011560072,1156,50.592874991707504,0.197,46.87,2.111,0.434,49.632
011560075,1156,70.53249998716637,0.201,64.168,4.965,0.703,70.062
011560086,1156,67.5020840135403,0.194,60.483,5.206,0.782,66.685
